,CV R2 Mean,CV R2 Std
Ridge,0.5397723539393505,0.29012896271166944
Lasso,0.6168086699880866,0.27477905619298576
Random Forest,0.5195875693268379,0.4196890292074199
Gradient Boosting,0.25923557420345655,0.49679513862279123
SVR,0.1609869901658656,0.451224327439247
KNN,0.16124784918830543,0.5345852006930484
Decision Tree,0.4550575499662514,0.3891987777256533
MLP,0.019090337778256795,0.516196885686674
Voting Regressor,0.6607667307147412,0.25469657758522113
Stacking Regressor,0.5787388075601136,0.3362446583431256
