,CV R2 Mean,CV R2 Std
Ridge,0.8518165470610327,0.02773734087380898
Lasso,0.8515359872541746,0.026758493708161926
Random Forest,0.8378754521378179,0.027631062683854304
Gradient Boosting,0.8374255825053041,0.02482808218384241
SVR,0.8431040953402542,0.027192603466336795
KNN,0.8231606049661998,0.030500661296795187
Decision Tree,0.813350162007149,0.029537007002277363
MLP,0.8475039856267259,0.028072836884168634
Voting Regressor,0.8439112079009045,0.027529595215565687
Stacking Regressor,0.8342468531804249,0.026508976517855033
